booking_id,booking_date,status,channel,total_price,base_fare,taxes_fees,ancillary_revenue,customer_id,full_name,gender,customer_city,flight_id,flight_date,season,origin_city,destination_city,route_type
1,2026-01-14,Completed,App,207.88,189.27,13.17,5.44,115,Jack White,Male,Manchester,332,2025-11-28,Autumn,London,Birmingham,Domestic
2,2025-08-19,Completed,App,160.72,92.92,32.59,35.21,85,Morgan Patel,Male,Leeds,627,2025-08-19,Summer,Birmingham,Newquay,Domestic
3,2025-12-31,Completed,App,254.22,191.83,17.67,44.72,42,Jacob Hall,Other,Belfast,300,2025-10-27,Autumn,London,Birmingham,Domestic
4,2025-08-28,Completed,Web,164.96,109.51,16.56,38.89,50,Lily King,Female,Glasgow,175,2025-06-24,Summer,London,Newquay,Domestic
5,2025-10-12,Completed,Web,180.00,122.60,19.00,38.40,46,James Davies,Female,Newquay,417,2025-01-21,Winter,Edinburgh,Aberdeen,Domestic
6,2025-05-08,Completed,App,133.17,103.64,23.60,5.93,14,Casey Baker,Other,Newquay,208,2025-07-27,Summer,Birmingham,Newquay,Domestic
7,2025-10-31,Completed,Web,152.34,94.55,15.41,42.38,77,Ava King,Female,Manchester,454,2025-02-27,Winter,London,Manchester,Domestic
8,2025-05-26,Completed,App,217.78,181.90,32.65,3.23,119,Alex King,Female,Jersey,401,2025-01-05,Winter,London,Manchester,Domestic
9,2025-02-01,Completed,Web,160.06,96.32,34.80,28.94,18,Cameron Thompson,Female,Glasgow,713,2025-11-13,Autumn,London,Bristol,Domestic
10,2025-03-10,Completed,Web,121.56,80.11,10.57,30.88,97,Morgan Taylor,Male,Glasgow,506,2025-04-20,Spring,London,Manchester,Domestic
11,2025-06-22,Completed,App,166.85,122.54,15.36,28.95,116,Chloe Adams,Male,Inverness,241,2025-08-29,Summer,Birmingham,Newquay,Domestic
12,2025-02-10,Completed,App,240.38,178.65,24.95,36.78,3,Chris Baker,Female,Glasgow,498,2025-04-12,Spring,Newcastle,Bristol,Domestic
13,2025-12-24,Completed,Web,214.08,195.24,13.50,5.34,32,Oliver White,Male,Glasgow,18,2025-01-18,Winter,London,Manchester,Domestic
14,2025-05-31,Completed,App,151.35,137.05,12.92,1.38,35,Noah Adams,Female,Jersey,375,2026-01-10,Winter,London,Birmingham,Domestic
15,2025-04-24,Completed,Web,233.44,190.93,17.47,25.04,22,Noah Taylor,Female,Bristol,228,2025-08-16,Summer,Birmingham,Newquay,Domestic
16,2025-10-20,Completed,App,241.74,203.01,12.08,26.65,19,Ella Walker,Female,London,555,2025-06-08,Summer,Manchester,Newquay,Domestic
17,2025-06-16,Completed,App,219.24,161.39,31.79,26.06,3,Chris Baker,Female,Glasgow,530,2025-05-14,Spring,Edinburgh,Manchester,Domestic
18,2026-01-26,Completed,App,225.90,172.32,12.02,41.56,102,Leo Baker,Other,Inverness,610,2025-08-02,Summer,London,Jersey,Domestic
19,2025-02-25,Completed,Web,166.73,115.37,28.04,23.32,20,Leo Cooper,Other,Newquay,355,2025-12-21,Winter,Edinburgh,Manchester,Domestic
20,2025-04-22,Completed,Web,238.13,173.06,20.65,44.42,10,Chloe Davies,Male,Newquay,482,2025-03-27,Spring,London,Birmingham,Domestic
21,2025-10-12,Completed,Web,131.09,103.47,10.03,17.59,120,James Wilson,Other,Newquay,695,2025-10-26,Autumn,Leeds,Bristol,Domestic
22,2025-06-04,Completed,Web,183.52,109.73,29.53,44.26,89,Riley Davies,Other,Inverness,109,2025-04-19,Spring,Edinburgh,Manchester,Domestic
23,2025-10-18,Completed,Web,225.19,190.60,29.70,4.89,47,Liam Wilson,Male,Glasgow,769,2026-01-08,Winter,London,Glasgow,Domestic
24,2026-01-22,Completed,App,170.57,121.32,25.84,23.41,59,Sophia Thompson,Male,Aberdeen,600,2025-07-23,Summer,Manchester,Newquay,Domestic
25,2025-02-16,Completed,App,221.23,157.03,30.45,33.75,119,Alex King,Female,Jersey,267,2025-09-24,Autumn,London,Manchester,Domestic
26,2025-01-30,Completed,Web,183.64,144.60,18.85,20.19,118,Ella Adams,Other,Glasgow,22,2025-01-22,Winter,London,Manchester,Domestic
27,2025-05-07,Completed,Web,228.04,162.30,34.49,31.25,4,Riley Wilson,Male,Birmingham,607,2025-07-30,Summer,London,Jersey,Domestic
28,2025-03-01,Completed,Web,230.91,182.10,16.01,32.80,17,Emily Cooper,Male,Manchester,514,2025-04-28,Spring,London,Birmingham,Domestic
29,2025-05-11,Completed,Web,139.20,82.17,20.93,36.10,78,Emily Jones,Female,Aberdeen,524,2025-05-08,Spring,Edinburgh,Manchester,Domestic
30,2025-05-04,Completed,Web,224.77,160.63,30.86,33.28,77,Ava King,Female,Manchester,228,2025-08-16,Summer,Birmingham,Newquay,Domestic
31,2025-07-11,Completed,Web,128.85,95.65,12.47,20.73,98,Taylor Smith,Female,Jersey,470,2025-03-15,Spring,Birmingham,Leeds,Domestic
32,2025-07-17,Completed,App,205.40,170.00,28.24,7.16,5,Chris Taylor,Male,Jersey,205,2025-07-24,Summer,London,Newquay,Domestic
33,2025-11-17,Completed,Web,158.68,133.86,16.06,8.76,87,Ella Adams,Female,Leeds,586,2025-07-09,Summer,Manchester,Newquay,Domestic
34,2025-06-04,Completed,Web,127.25,75.65,24.70,26.90,68,Leo Williams,Other,Glasgow,121,2025-05-01,Spring,Newcastle,Bristol,Domestic
35,2025-02-17,Completed,Web,131.37,93.57,23.09,14.71,100,Liam Smith,Female,Jersey,348,2025-12-14,Winter,Edinburgh,Manchester,Domestic
36,2025-02-01,Cancelled,Web,181.42,159.08,20.72,1.62,82,Ethan Davies,Other,Jersey,195,2025-07-14,Summer,London,Newquay,Domestic
37,2025-07-04,Completed,App,101.05,71.36,13.94,15.75,112,Isla Walker,Other,Newcastle,15,2025-01-15,Winter,Edinburgh,Manchester,Domestic
38,2025-06-30,Completed,Web,174.30,155.52,14.01,4.77,53,Sam Taylor,Male,London,706,2025-11-06,Autumn,London,Manchester,Domestic
39,2025-02-22,Completed,App,133.06,70.88,20.35,41.83,19,Ella Walker,Female,London,581,2025-07-04,Summer,Manchester,Newquay,Domestic
40,2025-03-26,Cancelled,Web,219.17,148.99,30.64,39.54,45,Leo Wilson,Other,Jersey,581,2025-07-04,Summer,Manchester,Newquay,Domestic
41,2025-02-25,Completed,Web,239.09,183.15,14.50,41.44,114,Theo Hall,Male,Leeds,377,2026-01-12,Winter,London,Glasgow,Domestic
42,2025-04-20,Completed,App,228.15,180.42,33.75,13.98,16,Chris Adams,Other,Edinburgh,329,2025-11-25,Autumn,Birmingham,Leeds,Domestic
43,2025-02-09,Completed,Web,223.85,181.34,29.14,13.37,120,James Wilson,Other,Newquay,317,2025-11-13,Autumn,London,Birmingham,Domestic
44,2025-02-20,Completed,Web,208.97,173.74,32.24,2.99,85,Morgan Patel,Male,Leeds,766,2026-01-05,Winter,Bristol,Edinburgh,Domestic
45,2025-07-18,Completed,Web,235.12,165.75,32.51,36.86,84,Riley Wilson,Male,Glasgow,367,2026-01-02,Winter,London,Manchester,Domestic
46,2025-11-12,Completed,Web,186.89,128.78,14.69,43.42,82,Ethan Davies,Other,Jersey,108,2025-04-18,Spring,Newcastle,Bristol,Domestic
47,2025-07-03,Completed,Web,202.50,147.01,31.59,23.90,48,Morgan Adams,Other,Leeds,5,2025-01-05,Winter,Belfast,Glasgow,Domestic
48,2025-07-30,Completed,Web,99.48,79.63,12.34,7.51,29,Ella Cooper,Male,Inverness,578,2025-07-01,Summer,Manchester,Jersey,Domestic
49,2025-06-16,Completed,Web,229.06,184.16,15.56,29.34,75,Sophia Patel,Female,London,397,2025-01-01,Winter,Edinburgh,Manchester,Domestic
50,2025-12-27,Cancelled,App,122.04,98.76,10.77,12.51,47,Liam Wilson,Male,Glasgow,330,2025-11-26,Autumn,Edinburgh,Manchester,Domestic
51,2026-01-03,Completed,Web,147.33,103.41,26.11,17.81,1,Chloe Patel,Male,Newcastle,453,2025-02-26,Winter,Bristol,Edinburgh,Domestic
52,2025-08-13,Completed,Web,201.23,139.63,26.61,34.99,31,Morgan Baker,Female,Bristol,668,2025-09-29,Autumn,Edinburgh,Manchester,Domestic
53,2025-07-28,Completed,Web,206.31,178.99,23.40,3.92,10,Chloe Davies,Male,Newquay,358,2025-12-24,Winter,London,Birmingham,Domestic
54,2025-04-11,Completed,Web,218.62,161.75,27.58,29.29,61,James Johnson,Female,Aberdeen,41,2025-02-10,Winter,Belfast,Glasgow,Domestic
55,2025-09-30,Cancelled,Web,192.70,152.34,32.73,7.63,15,Ava White,Male,Inverness,695,2025-10-26,Autumn,Leeds,Bristol,Domestic
56,2025-11-25,Completed,Agent,140.49,102.80,22.56,15.13,54,Ethan Patel,Male,London,606,2025-07-29,Summer,London,Jersey,Domestic
57,2025-09-18,Completed,App,148.56,105.26,25.10,18.20,79,Grace Cooper,Female,Jersey,233,2025-08-21,Summer,London,Newquay,Domestic
58,2025-03-25,Completed,Agent,172.32,129.31,19.47,23.54,98,Taylor Smith,Female,Jersey,341,2025-12-07,Winter,Edinburgh,Manchester,Domestic
59,2025-04-14,Completed,Web,246.23,181.24,33.49,31.50,70,Theo Jones,Female,Aberdeen,483,2025-03-28,Spring,Edinburgh,Manchester,Domestic
60,2025-12-14,Completed,Web,185.01,140.28,16.19,28.54,91,Ethan Smith,Female,Glasgow,206,2025-07-25,Summer,Birmingham,Newquay,Domestic
61,2025-11-15,Completed,Web,139.21,101.17,31.63,6.41,88,Ava Taylor,Male,Glasgow,425,2025-01-29,Winter,Edinburgh,Manchester,Domestic
62,2025-09-10,Completed,Web,126.20,87.71,13.04,25.45,13,Leo Cooper,Female,Aberdeen,490,2025-04-04,Spring,Birmingham,Leeds,Domestic
